source_row_number,review_priority,review_reason,suggested_action,visa_code,visa_name_ko,item_type,section_title,petition_type,subsection_type,subtype_or_program,applicant_context,eligibility,target_persons,common_documents,mandatory_documents,other_documents,requirements,procedure,restrictions,exceptions,fees,duration_or_validity,quota_or_limit,score_criteria,table_summary,table_rows,normalized_text
27,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,visa_rule,C-3-8 중국동포 복수사증,사증발급,대상,C-3-8,중국동포에 대한 복수사증발급(C-3-8) 재외동포의 출입국과 법적지위에 관한 법률 제2조제2호 외국국적동포로서 60세 이하인 자,,,,"- 사증발급신청서, 여권 사본 - 외국국적동포임을 입증하는 국적국의 공적서류(거민증, 호구부 등) - 해외범죄경력증명 (14세 이상 외국국적동포로서 동포방문(C-3-8) 사증 신청자)",제출면제대상 - 60세 이상인 사람 - 13세 이하인 사람(형사 미성년자) - 국가유공자(독립유공자)와 그 유족 - 특별공로(국익증진) 동포,,,,,,"5년 유효한 동포방문(C-3-8, 090) 복수사증",,,,,
30,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,visa_rule,C-3-1 관광·휴양시설 투자이민자,사증발급인정서,대상,C-3-1,"관광·휴양시설 투자이민자에 대한 복수사증 발급(C-3-1) 투자시설에 기준금액 이상을 투자한 외국인 및 법인의 임원, 주주와 그 동반가족(부모, 배우자, 자녀, 배우자의 부모)으로서 외국인 등록을 하지 않고 수시 방문하고자 하는 사람","기준금액 이상이 본인의 해외자본으로 투자되었음을 입증 투자 완료 경우에 한하며, 투자 예정·진행 중은 제외",,,"- 사증발급인정신청서, 여권 사본 - 부동산 매매계약서, 부동산 등기부등본 - 국내 외국환은행에서 발행한 국제송금 전신문, 외국환매입증명서 등 (신용카드 결제 시 결제정보 확인서, 신용카드 매출전표 사본, 분양회사 입금영수증, 카드 사본 등) - 가족관계 증명서 (배우자, 미혼 자녀 송금 또는 동반 신청 시)",,결격사유 (아래 어느 하나에 해당되지 아니하여야 함) - 금고 이상 실형 선고 후 집행 종료·면제일로부터 5년 미경과 - 금고 이상 형 집행유예 선고 판결확정일로부터 5년 미경과 - 300만 원 이상 벌금형 납부일로부터 3년 미경과 - 강제퇴거명령 출국일로부터 7년 또는 출국명령 출국일로부터 5년 미경과 - 신청일 기준 3년 이내 출입국관리법 위반 범칙금자로 체류허가 제한사유 있는 경우 - 입국금지 사유 또는 안전보장·질서유지·공공복리·이익 침해 우려 - 허위 서류 제출 - 투자시설에 매도·임대·담보·압류 등이 이루어지거나 수익 목적 활용,투자시설 소재지(투자시설이 2곳 이상인 경우 투자금액이 많은 지역) 관할 출입국·외국인청(사무소·출장소)에 신청,,,,"체류자격 단기일반(C-3-1), 체류기간 90일, 유효기간 3년 복수사증",,,,,
31,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,visa_rule,C-3-1 공익사업 투자외국인,사증발급인정서,대상,C-3-1,"공익사업 투자외국인 및 동반가족(C-3-1) 공익사업 투자이민 펀드에 투자한 외국인(은퇴투자이민자) 및 법인의 임원, 주주와 그 동반가족(부모, 배우자, 자녀, 배우자의 부모)으로서 외국인등록을 하지 않고 수시 방문하고자 하는 사람",기준금액 이상이 본인의 해외자본으로 투자되었음을 입증 투자 완료 경우에 한함,,,"- 신청서, 여권사본, 수수료 - 투자금 납입 증명 서류 (투자 유치기관 장의 직인 날인 투자 확인서, 계좌이체 내역서 등) - 공익투자 전담은행에서 발행한 국제송금 전신문, 외국환매입증명서 등 - 가족관계 증명서 (투자자 배우자·미성년 자녀 송금 또는 부모 등 가족 신청 시) - 투자 법인의 현직 임원 또는 과점주주(F-2 자격변경허가 기준) 입증서류 및 당사자 명단 명시된 해당 법인의 공문 - 국외에서 투자자 명의로 법인에 투자금을 송금·지불 입증서류 (법인의 임원·주주 해당자)",,결격사유 (아래 어느 하나에 해당되지 아니하여야 함) - 금고 이상 실형 선고 후 집행 종료·면제일로부터 5년 미경과 - 금고 이상 형 집행유예 선고 판결확정일로부터 5년 미경과 - 300만 원 이상 벌금형 납부일로부터 3년 미경과 - 강제퇴거명령 출국일로부터 7년 또는 출국명령 출국일로부터 5년 미경과 - 신청일 기준 3년 이내 출입국관리법 위반 범칙금자로 체류허가 제한사유 있는 경우 - 입국금지 사유 또는 안전보장·질서유지·공공복리·이익 침해 우려 - 허위 서류 제출,원금보장·무이자형 투자 외국인: 서울출입국·외국인청 세종로 출장소 또는 제주출입국·외국인청(제주도 체류자에 한함) 손익발생형 투자 외국인: 해당 개발사업자가 등록된 청(사무소·출장소),,,,"체류자격 단기일반(C-3-1), 체류기간 90일, 유효기간 3년 복수사증의 사증발급인정서",,,,,
32,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,visa_rule,C-3-3 의료관광 유치기관 초청,사증발급인정서,대상,C-3-3,"의료관광 유치기관의 초청으로 국내 의료기관에서 진료 또는 요양할 목적으로 입국하고자 하는 외국인 환자 의료관광 유치기관: 의료법에 따라 보건복지부 장관에게 외국인환자 유치 의료기관 또는 외국인환자 유치업자로 등록을 마친 자 외국인 환자의 간병 등을 위해 동반입국이 필요한 배우자 등 동반가족(외국인 환자의 배우자, 직계가족, 형제, 자매)",,외국인 환자 환자송출계약국가 국비지원 대상자 또는 의료관광 우수 유치기관 전자비자 초청자는 4촌 이내 방계가족까지 허용,,"- 사증발급인정신청서(별지 제21호 서식), 여권사본, 표준규격사진 1매 - 의료기관에서 발급한 의료목적 입증서류 - 치료 및 체류비용 조달 능력을 입증할 수 있는 서류 (우수 유치기관 초청 시 생략 가능) - 사업자등록증 사본 및 유치기관 등록증 사본 (회원가입자는 기존 서류 제출로 대체) - 가족관계 입증서류 (결혼증명서·가족관계기록사항에 관한 증명서 또는 출생증명서 등; 동반입국 배우자·동반가족에 한함)",,의료법상 외국인 환자 유치 의료기관 또는 유치업자로 등록한 자가 온라인(visa.go.kr)으로 사증발급인정서를 신청하는 경우에만 허용 ('12. 1. 1. 시행),,"21개 국가(중국, 필리핀, 인도네시아, 방글라데시, 베트남, 몽골, 태국, 파키스탄, 스리랑카, 인도, 미얀마, 네팔, 이란, 우즈베키스탄, 카자흐스탄, 키르키즈스탄, 우크라이나, 나이지리아, 가나, 이집트, 페루) 국민에게 C-3-3 발급 시 체류기간 90일 단수사증 또는 더블사증으로 발급 베트남의 경우 '16.4.1.부터 사증발급인정서 및 전자사증 발급 제한",,,"치료 및 여행기간 90일 이하 단기: 체류자격 C-3-3, 체류기간 90일 이내, 사증유효기간 단수 3월, 더블 6월, 복수 5년 이내 치료 및 여행기간 91일 이상 장기: 체류자격 G-1-10, 체류기간 1년 이내의 복수사증",,,21개국 단수사증 또는 더블사증 제한,"중국, 필리핀, 인도네시아, 방글라데시, 베트남, 몽골, 태국, 파키스탄, 스리랑카, 인도, 미얀마, 네팔, 이란, 우즈베키스탄, 카자흐스탄, 키르키즈스탄, 우크라이나, 나이지리아, 가나, 이집트, 페루",
33,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,visa_rule,C-3-6 우대기업 초청,사증발급인정서,대상,C-3-6,외국인 초청절차 우대기업의 초청을 받은 자(C-3-6) 대한민국 비자포털(www.visa.go.kr)을 통해 우대기업으로 선정된 기업·단체로부터 초청을 받은 자,,,,"- 사증발급인정신청서(별지 제21호서식), 여권, 표준규격사진 - 재직증명서 - 우대기업 발행 초청장",,"우대기업으로 선정되려면 중소벤처기업부장관, 중소기업중앙회장, 한국무역협회장의 추천을 받은 기업·단체이어야 함 기 선정된 우대기업만 대상으로 함(우대기업 선정 종료)",,,,,"체류자격 우대기업초청 단기상용(C-3-6), 체류기간 90일, 유효기간 1년 복수사증",,,,,
41,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-4,단기취업,visa_rule,C-4-1~4 계절근로 사증발급인정서,사증발급인정서,대상,C-4-1~4,계절근로 단기취업(C-4-1~4)자에 대한 사증발급인정서 발급,신청자: (시·군·구)기초자치단체장 사증발급인정서 대상자: 지자체가 고용주에게 배정한 해외 체류 외국인 결혼이민자 또는 외국국적동포의 국내 체류 가족은 사증발급인정서 신청 대상이 아니고 체류자격외활동허가 신청 대상,,,"비자포털에 첨부 제출 - 표준근로계약서 - 내국인 구인노력 증빙자료(구인 광고내용 사본 및 최종 구인실적 등) - 외국인 계절근로자 여권 사본 - MOU 외국인: 본국에서의 농·어업 종사 이력 - 결혼이민자 4촌 이내 친척(배우자 포함): 결혼이민자 신분증, 국내용 혼인·가족관계 증명서, 기본증명서, 친척 관계도, 거주국 가족관계증명서 등 - 숙소 관련 서류 (외국인 계절근로자 숙소시설표, '24년 한시적 시행) - 업무협약(MOU) 체결 결과서 등",,표준근로계약서 상의 근로일수와 사증(VISA)별 체류기간이 부합되어야 함,"신청 방법: 비자포털(www.visa.go.kr)을 통하여 신청 신청시기: 농·어업 작업시기, 사증발급인정서 발급 소요 기간(약 10일), 외국인 계절근로자 사증 준비 및 자국 출국 행정 절차 소요 기간 등을 고려하여 결정 숙소점검 확인서는 계절근로자 입국 직후 지자체에서 일괄 공문 제출",,,,"C-4-1(단수, MOU 외국지자체 추천, 농업, 최대 90일) C-4-2(단수, 결혼이민자 추천, 농업, 최대 90일) C-4-3(단수, MOU 외국지자체 추천, 어업, 최대 90일) C-4-4(단수, 결혼이민자 추천, 어업, 최대 90일)",,,계절근로 사증 종류,"C-4-1: MOU 체결 외국지자체 추천, 농업, 90일 C-4-2: 결혼이민자 추천, 농업, 90일 C-4-3: MOU 체결 외국지자체 추천, 어업, 90일 C-4-4: 결혼이민자 추천, 어업, 90일",
42,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-4,단기취업,visa_rule,C-4-5 특정국가 국민 사증발급인정서,사증발급인정서,제출서류,C-4-5,"특정국가 국민에 대한 단기취업(C-4-5) 사증발급인정서 발급 특정국가 국민은 원칙적으로 법무부장관, 출입국·외국인청(사무소·출장소)장이 발급한 사증발급인정서에 따라 사증 발급",,,,,,,사증발급인정서를 제출하지 아니한 자에 대하여는 공관장이 사증발급승인을 요청하여 법무부장관의 승인을 받아 사증을 발급할 수 있음 특정국가 거주 무국적자는 특정국가 국민의 사증발급기준에 준하여 처리,,,,,,,,,
57,high,required_documents_without_document_bucket,item_type/subsection_type과 실제 채움 필드가 맞는지 확인; 공통/필수/기타서류 버킷 재분류,D-4,일반연수,required_documents,D-4-3 고등학교 이하 유학생 사증발급,사증발급,제출서류,D-4-3,"21개 국가 외의 기타국가 자비부담 외국인유학생 21개 국가: 중국, 필리핀, 인도네시아, 방글라데시, 베트남, 몽골, 태국, 파키스탄, 스리랑카, 인도, 미얀마, 네팔, 이란, 우즈베키스탄, 카자흐스탄, 키르기즈스탄, 우크라이나, 나이지리아, 가나, 이집트, 페루",,,,,,,사증신청: 신청인의 거주국 또는 최종학교 소재지 관할 공관에서 신청 원칙,21개 국가 국민 중 자비 부담 외국인유학생은 사증발급인정서에 의한 사증발급 대상임,,,"체류기간 1년 이내, 단수",,,,,
89,high,document_like_row_outside_required_documents; score_like_row_outside_score_table,공통/필수/기타서류 버킷 재분류; 점수표/배점 행인지 확인,D-9,무역경영,visa_rule,D-9 무역비자 점수제,사증발급인정서,대상,,"무역비자 점수제 해당자 총 160점 중 60점 이상 득점자로서, 필수항목 점수가 10점 이상인 자",신청자 본인 명의로 사업자등록을 완료하였을 것 신청일 기준 3년 이내에 출입국관리법을 위반한 사실이 없을 것,,,"- 사증발급인정신청서, 여권사본 등 공통제출 서류 - 사업자등록증 사본 - 무역업 고유번호부여증(한국무역협회 발행) 사본 - 공동사업약정서 원본 및 사본 (공동 사업자인 경우; 총 자본금, 지분 및 수익금 분배방법 등 포함) - 사업장 존재 입증서류(임대차계약서 등) - 점수제 해당 점수 입증서류 무역실적: 한국무역협회장 발행 수출입실적증명서 무역분야 전문성: 경력증명서, 학위증, 교육이수증 등 (붙임3 기관·과정 이수자에 한함) 기타: 자본금 입증서류, TOPIK 점수표, 사회통합프로그램 이수증 등",,,,,,,,,"무역비자 점수제 총 160점, 필수항목 10점 이상, 총점 60점 이상",,,
91,high,score_like_row_outside_score_table,점수표/배점 행인지 확인,D-10,구직,visa_rule,D-10 구직,사증발급,대상,,"구직 자격 (일반구직 D-10-1, 기술창업준비 D-10-2, 첨단기술인턴 D-10-3, 최우수인재 D-10-T)","교수(E-1)·회화지도(E-2)·연구(E-3)·기술지도(E-4)·전문직업(E-5)·예술흥행(E-6)·특정활동(E-7) 자격 해당 분야 취업 위해 연수나 구직활동 등을 하려는 자 (예술흥행 E-6 중 유흥업소 E-6-2 제외, 순수예술·스포츠분야만 허용; E-7 자격 중 준전문인력·숙련기능인력은 해외신청 불가) 기업투자(D-8) 자격 다목 해당 기술창업 준비 등을 하려는 자 해외 우수 대학(THE 200위, QS 500위 이내 본교) 첨단기술 분야 학사과정 이상 재학생 또는 학위취득 후 3년 이내 졸업생으로 만 30세 미만(석사 이상 만 35세) 세계 대학 순위 100위 이내 대학의 석사 이상 학위 취득자 (최우수인재 D-10-T)",,,,,,,,,,1년 (기본) 1회 최대 6개월: D-10-1 ①요양보호사 전문연수 과정 수료자 ②구직비자 점수제 60점이상~80점미만 ③전문직종(E-1~E-7) 근무 경력자 ④주한 외국공관 인턴 직원 1회 최대 6개월: D-10-2 ①특허권·실용신안권·디자인권 출원 중인 사람 ②창업이민종합지원시스템(OASIS) 중 1개 이상 과정 이수자 ③창업이민 점수제 필수항목 중 1개 이상 해당자,,,세부약호,D-10-1 일반구직 ('18.10월 점수제 전환) D-10-2 기술창업준비 ('14.4. 신설) D-10-3 첨단기술인턴 ('22.8. 신설) D-10-T 최우수인재 ('25.4. 신설),
92,high,score_like_row_outside_score_table,점수표/배점 행인지 확인,D-10,구직,visa_rule,D-10-1 일반구직 점수제 및 면제 특례,사증발급,요건,D-10-1,일반구직(D-10-1) 발급 요건,"점수제 적용 대상자: 학사(국내 전문학사 포함) 이상의 학위 소지 국내 합법 체류자로 구직 점수표 총 190점 중 기본항목 20점 이상으로 총 득점 60점 이상 점수제 면제 특례 - 국내 대학 졸업 후 최초 구직 자격 변경: 국내 대학 전문학사 이상 학위 취득 후 최초 구직(D-10-1) 자격으로 변경 (체류기간 1년, 연장 시 점수제 적용) - 국내 대학 졸업 한국어능력 우수자: 국내 정규 대학에서 전문학사 이상 학위 취득 후 3년 이내, 사회통합프로그램 4단계 중간평가 합격 또는 TOPIK 4급 이상 유효 성적표 소지자 - 유망인재: 29세 이하 해외 대학 졸업자로서 최근 3년 이내 THE 또는 QS 세계 대학평가 200위 이내 대학 학사 이상 학위 소지자 또는 한국학 관련 전공 한국어능력 최우수자(토픽 6급) - 전문직종 근무 경력자: 체류자격변경허가만 가능 (사증발급 대상 아님) - 주한 외국공관 근무 인턴: 주한 외국공관 근무 인턴 직원",,,,,,,"공통 결격사유 - 신청일로부터 5년 이내 국내법 위반 금고 이상 형 선고 - 신청일로부터 5년 이내 출입국관리법 위반 강제퇴거나 출국명령 - 신청일로부터 3년 이내 국내법 위반 300만 원 이상 벌금형 - 출입국관리법 위반 범칙금 받은 사람으로서 체류허가 제한 통합기준에 따라 제한 (초범 500만원 이상, 재범 최근 3년 이내 합산 700만원 이상)",,,,,"구직 점수표 총 190점 (기본 50점, 선택 70점, 가점 70점) 기본항목: 연령(20점), 최종학력(30점) 선택항목: 취업경력(15점), 국내유학(30점), 국내연수(5점), 한국어능력(20점) 가점: 관계 중앙행정기관장·재외공관장 추천(20점), 세계우수대학(THE 200대, QS 500대) 또는 아시아권 QS 1,000위 이공계(20점), 글로벌기업 근무경력(포천 500대, 20점), 이공계 학사(5점), 고소득(5만달러) 전문직 경력자(5점) 감점: 출입국관리법 위반 또는 형사처벌 전력(최대 -30점)",점수제 구직비자(D-10-1) 배점표,"연령: 20~24세 10점, 25~29세 15점, 30~34세 20점, 35~39세 15점, 40~49세 5점 학력: 국내 전문학사 15점, 학사 15점, 석사 20점, 박사 30점 한국어능력: TOPIK 5급/KIIP 5단계 20점, 4급/4단계 15점, 3급/3단계 10점, 2급/2단계 5점 국내유학 졸업 후 3년 이내: 전문학사/학사/석사/박사 30점 국내유학 졸업 후 3년 이후: 전문학사 5점, 학사 10점, 석사 15점, 박사 20점",
94,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-10,구직,visa_rule,D-10-3 첨단기술인턴,사증발급인정서,요건,D-10-3,첨단기술인턴(D-10-3): 법무부장관이 정한 요건을 갖춘 기업(기관)과의 인턴 근로계약에 따른 첨단기술 분야 인턴 활동 첨단기술인턴은 사증발급인정서를 통한 사증발급만 허용,"세계 우수 대학(본교만 해당, THE 세계대학순위 200위, QS 세계대학순위 500위 이내) 첨단기술 분야 학사과정 이상 재학생 또는 학위취득일로부터 3년이 경과되지 않은 졸업생으로 만 30세(석사 이상은 만 35세) 미만 초청 가능 기업(기관): - 첨단 기술분야 연구시설(연구전담부서)을 갖춘 국내 상장기업 - 기초연구법 제14조의2 기업부설연구소 또는 연구개발 전담부서 - 연구개발특구의 육성에 관한 특별법 제9조 첨단기술기업 - 벤처기업육성에 관한 특별조치법 제25조 벤처기업 - 국공립 연구기관, 특정연구기관, 과학기술분야 정부출연 연구기관",,"- 신청서, 사진, 여권사본, 수수료, 신분증사본 - 인턴활동 계획서 - 최근 3년 이내 세계 대학순위 THE 200위, QS 500위 이내 소명자료 및 학위과정(첨단기술분야만) 재학증명서 또는 졸업증명서(학위증) (휴학증명서도 인정하되 휴학일로부터 1년 경과 시 불인정; 학력증명서는 유학(D-2) 사증발급 기준 국가별 공증절차대로 공적 확인) - 인턴근로계약서 (인턴 기업, 인턴활동 분야(첨단기술분야 제한), 인턴 기간 필수 명시) - 초청 기업(기관) 사업자등록증(또는 고유번호증), 법인등기부등본, 고용보험가입자 명부, 연구시설 현황자료 - 첨단기술인턴 초청 가능 기업(기관) 입증서류 (택1: 상장기업 첨단기술분야 연구시설 입증서류, 기업부설연구소인정서, 첨단기술기업지정서, 벤처기업확인서 등) - 체재비 입증서류 (연도별 1인 가구 주거급여 기준액 × 체류개월 수 이상 금액 예치 잔고증명서; 인턴계약서에 인턴기간 국내 체재비 지급 확인 시 면제)",,,,,초청기업(기관)이 일반구직(D-10-1) 인턴 채용 또는 전문직종(E계열) 외국인 고용이 제한되는 경우 첨단기술인턴 초청 요건을 갖추지 못한 기업(기관)과 인턴 근로계약을 체결한 경우 첨단기술인턴 초청인원이 인턴 예정 기업(기관)의 국민고용인원의 20%를 초과하는 경우 (최저 임금 이상 충족하고 고용보험가입자명부 3개월 이상 등재; 벤처기업은 설립일로부터 3년간 유예),,,"최대 1년의 체류기간 (단, 계약서에 명시된 인턴기간을 초과할 수 없음)",초청기업 국민고용인원의 20% 이내,,,,
95,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-10,구직,visa_rule,D-10-T 최우수인재,사증발급,요건,D-10-T,최우수인재(D-10-T): 최근 5년 이내 세계 대학 순위 100위 이내 대학의 석사 이상 학위 취득자로 국내 취업 위해 연수나 구직활동을 하려는 사람 (부처추천 불요),"최우수인재(Top-Tier) 자격 기준 중 학력 요건을 갖추었으나 취업 미확정 시 최우수인재 구직(D-10-T) 자격 부여 세계대학 평가 순위 참고: QS World University Ranking, QS by Subject Engineering and Technology, Times Higher Education World University Rankings, THE by subject engineering, US News & World Report Global University Rankings, US News by subject engineering",,"- 신청서, 표준규격 사진, 여권 사본, 수수료 - 구직활동 계획서 - 해외 우수대학(본교) 졸업(예정)증명서",,,,,결격사유 - 입국금지 사유 해당 - 특정강력범죄의 처벌에 관한 특례법상 특정강력범죄로 형 선고 - 출입국관리법 또는 다른 법률 위반 금고 이상 형 집행종료·면제 5년 미경과 - 금고 이상 형 집행유예 판결확정 5년 미경과 - 300만원 이상 벌금형 납부일 3년 미경과 - 최근 5년간 출입국관리법 3회 이상 위반 (과태료 제외) - 강제퇴거명령 출국 7년 또는 출국명령 출국 5년 미경과 - 최근 3년간 출입국관리법 위반 1회 500만원 이상 또는 합산 700만원 이상 - 인도적 사유로 체류허가 받은 사람의 허가 결정일 5년 미경과 - 안전보장·질서유지·공공복리·이익 침해 우려,,,,,,,,
96,high,document_like_row_outside_required_documents; score_like_row_outside_score_table,공통/필수/기타서류 버킷 재분류; 점수표/배점 행인지 확인,D-10,구직,visa_rule,D-10 공관장 재량 발급 절차,사증발급,절차,,재외공관장이 재량으로 체류기간 6개월의 단수 구직(D-10)사증 발급,,,"공통서류 - 신청서, 사진, 여권 사본, 수수료, 신분증 사본 - 구직활동 계획서 - 학위증 (졸업증명서, 학위취득증명서도 인정; 유학생정보시스템 확인 시 면제) - 대학 순위 소명자료 (세계 대학순위 적용 대상자) - 근무경력 증빙서류 (해당자; 근무기간, 장소, 직종 등 포함된 경력증명서 또는 재직증명서) - 국내 연수 활동 증빙서류 (해당자) - 한국어능력 입증서류 (해당자) - 추천서 (해당자; 부처 발행 고용추천서 또는 공관 내부추천 문서) - 고소득 전문가 입증서류 (해당자; 자국 공공기관 발행 전년도 근로소득 입증서류) - 체재비 입증서류 (연도별 1인 가구 주거급여 기준액 × 체류개월 수 이상 금액 예치 잔고증명서) - 기타 점수제 평가에 필요한 서류",,"점수제 면제 대상자 서류 - 국내 대학 졸업 후 최초 구직자격 변경: 국내 정규 대학 전문학사 이상 학위증 (체재비 입증서류 면제; 사증발급은 졸업일로부터 1년 이내만 인정) - 한국어능력 우수자: 국내 정규 대학 학위증 + 사회통합프로그램 중간평가 합격증 또는 사전평가 점수표(81점 이상), TOPIK 4급 이상 유효 성적표 (체재비 면제) - 유망인재: 학위증 + THE/QS 세계 대학순위 200위 이내 대학 소명자료 + TOPIK 6급 유효 성적표 (체재비 면제) - 주한 공관 근무 인턴 직원: 인턴계약서 + 양국 공관 대사 추천서 (체재비 면제) 기술창업준비(D-10-2) - 공통서류 + 학사(국내 전문학사) 학위 이상 학력증명서 - 기술창업계획서 - 특허증·실용신안등록증·디자인등록증 사본 또는 특허 출원사실증명서 (해당자) - 창업이민종합지원시스템 교육과정 이수증 또는 교육참여 확인서 (해당자) - OECD 국가 지식재산권 보유 사실 확인 공적 서류 (해당자) - 체재비 입증서류",,신청관할: 자국 또는 거주 중인 국가(제3국) 소재 한국공관 (관광 등 단기간 일시적 체류 중인 국가는 원칙적 제외) 해외 발급 서류는 반드시 한글 또는 영어 번역 후 아포스티유 인증 또는 자국정부 공증,,"구직사증에 대한 복수사증발급협정이 체결된 국가 국민에게는 유효기간 2년, 체류기간 6월의 복수사증 발급",,체류기간 6개월 단수 (협정 체결국 국민은 유효기간 2년 체류기간 6월 복수),,,,,
102,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-1,교수,visa_rule,E-1 교수 / 고급과학기술인력 사증발급인정서,사증발급인정서,요건,사증발급인정서,교육부장관의 추천을 받고 전문대학 이상의 교육기관에서 과학기술 분야의 교육·연구지도 활동에 종사하는 고급과학 기술인력,이공계 박사학위소지자 또는 이공계 석사학위 소지 + 해당분야 연구개발업무 3년 이상 종사자,,,- 사증발급인정신청서 (별지 제21호 서식) - 여권 - 표준규격사진 1매 - 고용계약서 또는 임용예정확인서 - 교육부장관의 '고급과학기술인력' 고용추천서 (경제자유구역 내 취업활동은 시·도지사 고용추천서 또는 고용 필요성 입증서류) - 초청기관 설립관련 서류 (사업자등록증 또는 법인등기사항전부증명서),"- BK21 관련 공문 사본 (해당자에 한함) - 대리인 신청시: 위임장, 대리인 재직증명서, 대리인 신분증",산업기술촉진법 등 관련법령에 따라 자연과학분야나 산업상의 고도산업기술을 개발하기 위해 전문대학 이상의 교육기관에서 연구하는 과학기술자는 연구(E-3)자격 해당,출입국·외국인청장이 발급한 사증발급인정서 또는 법무부장관 승인 발급 (중국 및 특정국가 국민은 사증발급인정서 의무),,학위증 및 경력증명서는 제출 면제 (고용추천과정에서 교과부 등이 사전검증 완료),,,,,,,
103,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-1,교수,visa_rule,E-1 교수 / 전자사증,전자사증,대상,전자사증,,"전문인력(E-1, E-3, E-4, E-5, 첨단과학기술분야 고용추천서(GOLD CARD)를 발급받은 E-7)과 그 동반가족(F-3), 의료관광객 및 동반가족·간병인(C-3-3, G-1-10), 상용빈번출입국자(C-3-4), 단체관광객(C-3-2), 공익사업 투자예정자(C-3-1)","영사 인터뷰가 필요 없는 교수, 연구원 등 전문인력 및 지정 대상자",,,,,"1. 회원가입: 대한민국비자포털(www.visa.go.kr)에 회원가입 2. 신청사항 입력 및 첨부서류 등재 3. 수수료 납부 (해외사용 가능 신용카드, 미화 전자결제) 4. 초청기업 사증신청 확인 후 최종 전송 (또는 초청기업 대리신청)",,,출입국관리법 시행규칙 제71조에 따른 수수료 + 전자결제 이용수수료(3.3%) 별도,,,,전자사증 발급대상 및 절차,,
113,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-3,연구,visa_rule,E-3 연구 / 고급과학 기술인력 사증발급인정서,사증발급인정서,요건,사증발급인정서,정부출연·국공립·기업부설 등 이공계 연구기관에서 자연과학분야 연구 또는 산업상 고도기술의 연구개발에 종사하고자 하는 자,,,,"- 사증발급인정신청서 (별지 제21호 서식) - 여권 - 표준규격사진 1매 - 고용기관 설립 관련 서류 - 고용계약서 또는 임용예정확인서 - 석사 학위 이상 학위증, 경력증명서 (해당자) - 과학기술정보통신부장관의 고용추천서",- 졸업예정증명서·학위수여 날짜 확인 증명서 (해당자) - 우수 학술논문 저자 입증자료 (해당자) - 대리인 신청시 추가 서류,과학기술정보통신부장관의 고용추천이 있는 이공계 연구기관 종사자,청장이 발급한 사증발급인정서 제출 또는 재외공관장이 법무부장관 승인 받아 발급 (중국·특정국가 국민은 사증발급인정서 필수),,,,"체류기간은 고용계약기간 범위 내 최장 5년, 복수사증 유효기간은 발급일로부터 체류기간과 동일",,,,,
114,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-3,연구,visa_rule,E-3 연구 / 한·인도 사증절차간소화협정,사증발급인정서,대상,사증발급인정서,한·인도 사증절차간소화협정 관련 고용방문자(Employment visitor),"정당하게 등록된 회사·기관에 고용되거나 계약에 의해 기술전문가·임원·관리자 등 숙련된 기술 지위 종사·임용자 예시: 기업내 전근자, 계약서비스 공급자 또는 이를 지원하는 자, 독립전문가",,,"공통: 사증발급인정신청서 (별지 제21호 서식), 여권, 표준규격사진 1매 기업내 전근자: 파견명령서 및 1년 이상 재직증명서, 지사 또는 연락사무소 설치허가서 사본 계약서비스 공급자: 고용주 발행 재직증명서, 인도정부 발행 사업자등록증 등 회사 설립 관련 서류, 우리나라 회사와의 서비스 공급계약 체결 입증 서류 독립전문가: 고용계약서 또는 용역계약서 등 계약 입증 서류, 학위증·관련 자격증·1년 이상 해당 분야 취업경력 입증서류","대리인 신청시 위임장, 대리인 재직증명서, 대리인 신분증",,청(사무소·출장소)의 사증발급인정서에 의해 발급 (고용관련 사증은 복수사증이므로 전부 사증발급인정서 발급),,,,최초 체류기간 1년 (1년 단위 연장) 한·인도 문화·학술협정 등 정부 지정 기관/단체간 협약 입국: 5년 복수사증 (계약 5년 이내면 그 기간) 기타 취업·주재 목적: 3년 복수사증 (계약 3년 이내면 그 기간),,,,,
