source_row_number,review_priority,review_reason,suggested_action,stay_status_code,stay_status_name_ko,item_type,section_title,petition_type,subsection_type,subtype_or_program,applicant_context,eligibility,target_persons,common_documents,mandatory_documents,other_documents,requirements,procedure,restrictions,exceptions,fees,duration_or_validity,quota_or_limit,score_criteria,table_summary,table_rows,normalized_text
15,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,A-2,공무,stay_status_rule,A-2 공무 / 체류자격외 활동허가,체류자격외 활동허가,절차,,"주한외국공관원 가족 (상호주의 29개국), 국제기구 직원의 동반가족",,,,"여권, 통합신청서 외교부 고용추천서 (외국공관원 가족 케이스)",,,외교부 추천 → 출입국·외국인관서에 공문 발송 → 가족/대리인이 신청서류 제출,"단순노무분야(D-3, E-9, E-10, H-2) 제외",,12만원,근로계약 범위 내 최장 2년,,,,,
16,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,A-2,공무,stay_status_rule,A-2 공무 / 체류자격 부여,체류자격 부여,제출서류,,출생일부터 90일 이내 신청,,,,"본인: 신청서(별지 제34호 서식), 여권, 파견·재직을 입증하는 서류 또는 자국 소속부처 장의 협조공문 부양가족: 신청서, 여권, 출생증명서 등 신분관계 입증서류, 부양자의 공무수행을 증명하는 신분증",,,,,,,,,,,,
17,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,A-2,공무,stay_status_rule,A-2 공무 / 체류자격 변경허가,체류자격 변경,제출서류,,,,,,"본인: 신청서, 여권, 파견·재직을 입증하는 서류 또는 자국 소속부처 장의 협조공문 부양가족: 신청서, 여권, 출생증명서 등 신분관계 입증서류, 부양자의 공무수행 증명 신분증",,,,,,,,,,공무(A-2) 동반가족 범위 6개 항목,,
20,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,A-3,협정,stay_status_rule,A-3 협정 / 체류자격외 활동허가,체류자격외 활동허가,제출서류,,"협정(A-3) 자격 소지자, 교수(E-1) 내지 특정활동(E-7) 활동",,,,"신청서(별지34호), 여권, 수수료 복무확인서 S.O.F.A ID 카드 해당 자격 관련 서류 SPONSOR인 경우 소속 기관장(고용주)의 동의서",,,A-3 사증으로 입국하지 않고 입국 후 A-3 자격변경 받은 경우에도 체류자격외 활동 허용,,,,,,,,,
21,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,A-3,협정,stay_status_rule,A-3 협정 / 체류자격 부여,체류자격 부여,제출서류,,"국내 출생자, 출생일로부터 90일 이내 신청 (90일 이내 출국 시 별도 허가 불필요)",,,,"신청서(별지 제34호 서식), 여권 출생증명서 등 가족관계 입증서류 부양자의 신분증명서 초청계약자 등이 발급한 복무확인서·재직증명서 또는 초청계약서",,,,,,,,,,,,
23,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,B-2,관광통과,stay_status_rule,B-2 관광통과,공통사항,대상,,,관광·통과 등의 목적으로 대한민국에 사증 없이 입국하려는 자,,,"신청서(34호 서식), 여권 원본, 수수료 체류기간 연장의 필요성을 소명하는 서류",,,,관광통과 목적 입국자도 원칙적으로 체류기간 연장이나 체류자격 변경 불가,,,법무부장관이 따로 정하는 기간,,,,,
24,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-1,일시취재,stay_status_rule,C-1 일시취재,공통사항,대상,,,"외국 신문/방송/잡지/보도기관 파견 단기 취재·보도자, 외국 보도기관과의 계약 단기 취재·보도자, 외국 언론사 지사설치 준비 단기 취재·보도자",,,"신청서(34호 서식), 여권 원본, 수수료 체류기간연장 필요성 소명 서류 (본사의 취재명령서/파견증명서, 외신 보도증 사본 또는 본사발생 재직증명서 등)",,,,,,,"90일 (1회 부여 체류기간 상한, 최장체류기간 90일)",,,,,
26,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,stay_status_rule,C-3 단기방문 / 체류기간 연장허가,체류기간 연장,요건,,,,,,"신청서(34호 서식), 여권 원본, 수수료 체류기간 연장의 필요성을 소명하는 서류",,"단기방문(C-3) 활동 범위에 해당하고, 불법취업의 의심이 없으며 연장의 필요성이 인정되는 경우 입국일로부터 체류기간 90일 범위 내 연장 가능",,단체관광(C-3-2) 사증 소지자는 출국할 항공기가 없거나 영주·귀화신청 등 부득이한 사유에 한해서만 연장/변경 허가,,,,,,,,
28,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-4,단기취업,stay_status_rule,C-4 단기취업 / 근무처 변경·추가,근무처 변경/추가,절차,,"계절근로(C-4-1~4): 근무처 추가 불가, 근무처 변경시 지자체 담당자 동반 필요 계절근로외(C-4-5): 권한 청장 위임, 주무부처 고용추천서 불필요(E-1~E-7 일부 제외)",,,,"계절근로(C-4-1~4): 통합신청서, 여권 (수수료 면제), 거주/숙소 제공 확인서, 표준근로계약서 사본, 산업재해보험 가입증명원 또는 농·어업인 안전보험 증서, 계절근로자 배치 대상 고용주 확인서 계절근로외(C-4-5): 신청서(별지 제34호 서식), 여권 원본, 수수료, 고용계약서, 회사 설립 관련 서류, 고용추천서(해당자), 기타 입증 서류",,,,계절근로 근무처 변경 사유 한정: 1. 각종 조건 위반 고용주가 시정을 하지 않은 경우 2. 계절근로자의 귀책사유 없이 근로 계속 불가 3. 사회통념상 최초 계약 고용주 작업장에서 근무 불가,,근무처변경 수수료 면제 (계절근로),,,,,,
30,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-1,문화예술,stay_status_rule,D-1 문화예술 / 외국인등록,외국인등록,제출서류,,,,,,"신청서(별지34호 서식), 여권원본, 표준규격사진 1장, 수수료 사업자등록증 등 문화예술 단체 입증 서류 체류지 입증서류",,,,,,,,,,,,
32,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-2,유학,stay_status_rule,D-2 유학 / 시간제취업 활동 허가,체류자격외 활동허가,요건,,"일정 수준의 한국어 능력 보유, 유학 본연의 활동 전념, 대학 유학생 담당자 확인을 받은 사람","유학(D-2) 세부 D-2-1~D-2-4, D-2-6, D-2-7 해당자 어학연수(D-4-1, D-4-7), 방문학생(D-2-8): 변경일(사증소지자는 입국일)로부터 6개월 경과",,,"신청서, 여권, 외국인등록증 (수수료 면제) 성적 또는 출석 증명서 한국어 능력 증빙서류 외국인 유학생 시간제 취업 확인서 외국인 유학생 시간제취업 요건 준수 확인서 사업자등록증 사본 및 고용주 신분증 사본 표준근로계약서 사본 (시급, 근무내용·시간 포함)",,한국어 능력 기준 (TOPIK/사회통합/세종학당 기준) 전문학사·학사 1-2학년: TOPIK 3급 또는 사회통합 3단계 또는 세종 중급1 학사 3-4학년: TOPIK 4급 또는 사회통합 4단계 또는 세종 중급2,,"선량한 풍속/사회질서 반하는 행위 금지 전문분야 E-1~E-7 (일부 예외 제외) 비전문취업(E-9) 제조업·건설업·선원취업(E-10) (한국어 4급 이상 시 예외 허용) 파견·도급·알선 관계, 원거리 근무, 직전학기 C학점(2.0) 미만자 제한",,수수료 면제,"어학연수생(D-4): 체류기간 내 최장 6개월, 장소 1곳 유학생(D-2): 체류기간 내 최장 1년, 장소 2곳 허용시간: 전문학사·학사 주중 10~30시간, 석박사 주중 15~35시간",,,,,
33,high,document_like_row_outside_required_documents; score_like_row_outside_score_table,공통/필수/기타서류 버킷 재분류; 점수표/배점 행인지 확인,D-2,유학,stay_status_rule,D-2 유학 / 체류자격 변경허가,체류자격 변경,제출서류,,외국인등록 후 합법 체류 중인 장기체류자 (D-3/E-8/E-9/E-10/G-1 일부 제외),,,,"신청서, 여권 및 사본 1부, 표준규격사진 1매, 수수료 (GKS 장학증서 소지자 수수료 면제) 교육기관 사업자등록증(또는 고유번호증) 사본 표준입학허가서 학력요건 및 재정능력 입증서류 가족관계 입증서류 (부모 잔고증명서 등 제출 시)",,"한국어 능력: TOPIK 또는 사회통합 또는 세종학당 기준 충족 전문학사·뿌리산업양성학과: 사회통합 2단계 이상 또는 사전평가 41점 이상, TOPIK 2급 이상 학사(전공심화) 이상: 사회통합 4단계 이상 또는 사전평가 81점 이상, TOPIK 4급 이상 영어트랙: TOEFL 530(iBT 71), IELTS 5.5, CEFR B2, TEPS 601(NEW TEPS 327) 이상",,,,,,,,,,
34,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-2,유학,stay_status_rule,D-2 유학 / 체류기간 연장허가,체류기간 연장,요건,,,,,,"신청서, 여권, 외국인등록증, 수수료 수료증명서, 지도교수 및 유학담당자 확인서 재학증명서, 성적증명서, 출석확인서 등 학업 정상 수행 입증서류 재정입증 서류 체류지 입증서류",,"학사일정 고려: D-2-1~D-2-4, D-2-7은 3월말 또는 9월말로 조정 D-2-5 연구유학: 2년 초과 체류 불가 (1회 1년 상한) D-2-6 교환학생, D-2-8 방문학생: 과정 종료일로부터 1개월 범위 내 1월 말/7월 말 조정 유학활동 종료자 상한: 전문학사 3년(3년제 4년), 학사 6년(5년제 7년), 석사 5년(3년제 6년), 박사 8년(2년제 7년)",,가사·졸업연기 등 휴학 사유 불인정 야간/주말수업 수강자 체류허가 제한 비자심사강화대학 D학점(1.0) 이하 재학생은 6개월 이내 연장 후 다음 연장 제한,,,,,,,,
35,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-2,유학,stay_status_rule,D-2 유학 / 외국인등록,외국인등록,제출서류,,,,,,"신청서, 여권 및 사본 1부, 표준규격사진 1매, 수수료 재학(연구생)증명서 (대체: 인증대학 이상은 등록금납입증명서, 일반대학 이하는 협조요청서 및 등록금납입증명서) 체류지 입증서류",,,,,외국인등록 + 체류기간 연장 동시 신청 시 연장 수수료 면제. 정부초청장학생 등 수수료 면제 대상자도 등록증 발급/재발급 수수료는 납부,,,,,,,
37,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-3,기술연수,stay_status_rule,D-3 기술연수 / 체류기간 연장,체류기간 연장,제출서류,,"최초 6개월, 이후 입국한 날부터 2년 범위 내 연장. 연수기간 연장 필요성, 과거 이탈율, 범법사항 등 확인",,,,"신청서(별지34호 서식), 여권원본, 외국인등록증, 수수료 연수기간 연장신청 사유서 사업자등록증과 공장등록증 국내법인 납세증명서 현지법인 납세사실 증명 서류 연수생 임금 및 연수수당 지급 확인서류 신원보증서 원본 산업재해보상보험, 국민건강보험, 보증보험 가입증명서류 체류지 입증서류",,,,,,,,,,,,
39,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-4,일반연수,stay_status_rule,"D-4 일반연수 / 어학연수(D-4-1, D-4-7) 자격 변경",체류자격 변경,제출서류,"D-4-1, D-4-7",,,,,"신청서, 여권, 외국인등록증(소지자), 사진 1매, 수수료 교육기관 사업자등록증 또는 고유번호증 사본 표준입학허가서(대학 총·학장 발행) 재정능력 입증서류 재학증명서 또는 최종학력 입증서류 연수계획서(강의시간표, 강사구성표, 연수시설 등 포함)",,고등학교 졸업 이상 학력 소지자 (D-4-7 외국어 연수는 고등학교 이하도 가능),,,,,,,,,,
42,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-5,취재,stay_status_rule,D-5 취재 / 체류자격 변경허가,체류자격 변경,대상,,일시취재(C-1) 자격 소지자 또는 사증면제(B-1) 자격으로 입국한 독일인,"일시취재(C-1) 자격 소지자에 대하여 국내 장기취재 필요성이 입증될 경우 장기취재(D-5) 자격으로의 변경허가 사증면제(B-1) 자격으로 입국한 독일인에 대한 장기체류자격으로 변경 가능 (기술연수(D-3), 비전문취업(E-9) 및 관광취업(H-1)을 제외한 모든 장기체류자격)",,,,허가 시에는 관계부처 협조공한 등 장기취재 필요성을 입증할 수 있는 서류,,,,,,체류자격별 1회 부여할 수 있는 체류기간의 상한,,,,,
48,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-5,취재,stay_status_rule,D-5 취재 / 외국인등록사항 변경신고,외국인등록,절차,,,,,,- 신청서(별지 34호 서식) - 여권 및 외국인등록증 - 수수료 - 변경관련 입증서류,,,변경일로부터 15일 이내 신고,,,,,,,,,
55,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-6,종교,stay_status_rule,D-6 종교 / 재입국허가,재입국허가,예외,,,,,,,,,,"입국규제 및 사증발급규제자는 체류지 관할 청(사무소·출장소)에 방문하여 재입국허가를 받아야 하며 수수료 제출 대상 사우디아라비아, 이란, 리비아는 복수재입국제한. 단, 동 국가의 국민 중 결혼이민(F-6), 유학(D-2), 일반연수(D-4)는 가능",등록을 필한 외국인이 출국한 날로부터 1년 이내에 재입국하려는 경우 재입국허가 면제 체류기간이 1년보다 적게 남아있는 경우 체류기간 범위 내에서 재입국허가 면제,,,,,,,
59,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-7,주재,stay_status_rule,D-7 주재 / 근무처 변경·추가,근무처 변경/추가,제출서류,,주재(D-7) 자격 소지자의 같은 계열회사 내 이동,,,,"- 신청서(별지34호 서식) - 여권 및 외국인등록증 - 수수료 - 파견명령서 원본(외국 본사발행) - 동일계열사 입증서류(법인등기사항전부증명서 등) - 추가 변경근무처의 영업자금도입증빙서류(외국환매입증명서, 임대차계약서 등) - 추가 변경근무처의 법인등기사항전부증명서 원본 - 추가 변경근무처의 사업자등록증 사본",,근무처 변경·추가 허가(신고) 대상 아님 - 외국인등록사항 변경신고로 처리 같은 계열회사내의 이동일 경우 '외국인등록사항 변동신고'로 업무처리,,,,,,,,,,
71,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-8,기업투자,stay_status_rule,D-8 기업투자 / 근무처 변경·추가,근무처 변경/추가,대상,,,,,,"- 신청서(별지34호 서식) - 여권 및 외국인등록증 - 수수료 - 파견명령서 원본(외국 본사발행) - 동일계열사 입증서류(법인등기사항전부증명서 등) - 추가 변경근무처의 영업자금도입증빙서류(외국환매입증명서, 임대차계약서 등) - 추가 또는 변경근무처의 납세증명서 및 납세사실증명서 - 추가 변경근무처의 법인등기사항전부증명서 원본 - 추가 또는 변경근무처의 사업자등록증 사본 - 추가 또는 변경 근무처의 투자기업등록증 사본",,근무처 변경·추가 허가(신고) 대상 아님 외국인등록사항 변경신고로 처리 주재(D-7) 내지 무역경영(D-9)자격 소지자의 같은 계열회사내의 이동일 경우 '외국인등록사항 변동신고'로 업무처리,,,,,,,,,,
75,high,score_like_row_outside_score_table,점수표/배점 행인지 확인,D-8,기업투자,stay_status_rule,D-8-4 기술창업 / 허가요건 (점수제 적용 대상자),체류자격 변경,요건,D-8-4,,"국내에서 전문학사 이상의 학위를 취득한 사람, 또는 국외에서 학사 이상의 학위를 취득한 사람, 또는 관계 중앙행정기관의 장이 추천한 사람일 것",,,,,점수제에 따라 총 300점 중 60점 이상의 점수를 득점하였을 것 필수항목은 반드시 1개 이상 충족하여야 함 대한민국 법인을 설립하고 법인등기 및 사업자등록을 완료하였을 것,,,,,,,필수항목 1개 이상 충족 + 전체 300점 중 60점 이상,,,
76,high,score_like_row_outside_score_table,점수표/배점 행인지 확인,D-8,기업투자,stay_status_rule,D-8-4 기술창업 / 점수제 적용 면제 (K-Startup 그랜드챌린지),체류자격 변경,예외,D-8-4,"K-Startup 그랜드챌린지 참여자, 정부창업지원사업 수혜자, 스타트업 코리아 특별비자 추천자",K-Startup 그랜드 챌린지 참여자: 최근 2년 이내 K-Startup 그랜드챌린지 참여자로서 선발되어 사업화지원을 받고 있거나 받은 사실이 있는 자 정부창업지원사업 수혜자: 최근 2년 이내 창업지원사업 통합 공고에 따른 중앙행정기관 또는 지방자치단체 창업지원사업 수혜자(고기술 기반 사업 한정)로 선정되어 3천만원 이상의 직접 사업비를 지원받았을 것 스타트업코리아 특별비자: '스타트업 코리아 특별비자 추천 민간평가위원회' 심사승인자로서 중소벤처기업부장관으로부터 기술창업 체류자격 변경허가 등을 위한 추천을 받았을 것,,,,,대표자: 사업 참여자로서 기술력을 보유한 당사자 업종: 사업 참여 근거가 되는 기술력과 관련 있는 업종 설립조건: 사업 참여일 이후 신규 설립된 법인 중기부장관으로부터 기술창업(D-8-4) 체류자격변경허가 추천을 받았을 것,,,"중앙행정기관 또는 지방자치단체로부터 직접 사업비 3천만원 이상을 지원받았으나, 점수제 적용 면제를 위한 중기부 장관의 추천서·인정 기간(2년) 등 요건을 갖추지 못한 사람은 기술창업(D-8-4) 점수표 중 OASIS-9 이수(30점)로 인정 → 점수제 적용",,,,,,,
86,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,D-8,기업투자,stay_status_rule,D-8 기업투자 / 재입국허가,재입국허가,예외,,,,,,- 신청서(별지 34호서식) - 여권 원본 - 외국인등록증 - 수수료면제 (복수재입국허가의 경우),,,,"입국규제 및 사증발급규제자는 체류지 관할 청에 방문하여 재입국허가를 받아야 함 사우디아라비아, 이란, 리비아는 복수재입국제한 (단, 동 국가 국민 중 결혼이민(F-6), 유학(D-2), 일반연수(D-4)는 가능)",등록을 필한 외국인이 출국한 날로부터 1년 이내에 재입국하려는 경우 재입국허가 면제 체류기간이 1년보다 적게 남아있는 경우 체류기간 범위 내에서 재입국허가 면제,,복수재입국허가: 1년 초과 2년 이내,,,,,
90,high,document_like_row_outside_required_documents; score_like_row_outside_score_table,공통/필수/기타서류 버킷 재분류; 점수표/배점 행인지 확인,D-9,무역경영,stay_status_rule,D-9-1 무역업 / 점수제 체류자격 변경,체류자격 변경,대상,D-9-1,무역비자 점수제 요건을 충족하는 자,,,,- 신청서(별지34호 서식) - 여권 - 표준규격사진 1장 - 수수료 - 사업자등록증 사본 - 무역업 고유번호부여증(한국무역협회 발행) 사본 - 공동사업 약정서 원본 및 사본(공동사업자인 경우) - 사업장 존재 입증서류(임대차계약서 등) - 점수제 해당 입증서류 등,,,,,,,,,,,,
