label,orig_row_index,column,current,suggested,rationale,verify_method,verdict
visa,67,출처,E-2 회화지도 / 사증발급인정서 (p. 137~138),E-2 회화지도 / 사증발급인정서 (p. 146~148),PDF상 E-2-1 사증발급인정서 본문은 p.146~148. 'p.137~138'은 E-1 영역으로 오기.,"PDF p.146 line 9 '사증발급인정서에 의한 회화지도(E-2) 사증발급', p.147 line 10 'E-2-1 사증발급인정서 발급'",MINOR_FIX
visa,68,출처,E-3 연구 (p. 142),E-3 연구 (p. 151~152),PDF상 E-3 연구 본문은 p.151~152. 'p.142'는 E-2 영역으로 오기.,"PDF p.151 line 1 '연구(E-3)', p.152 line 6~8 '1회 부여 체류기간의 상한 5년'",MINOR_FIX
visa,69,체류상한,"체류기간은 고용계약기간 범위 내 최장 5년, 복수사증 유효기간은 발급일로부터 체류기간과 동일",5년,E-3 자격 전체 '1회 부여 체류기간의 상한 5년' (PDF p.152 line 6~8). 사증유효기간 내용은 별도 칸으로 이미 기재됨. 체류상한 칸은 5년만.,PDF p.152 line 6~8 직접 인용 '1회 부여 체류기간의 상한 / 5년',NEEDS_REVIEW
visa,69,대상자,정부출연·방위사업·자연과학 고도기술개발 연구기관 종사 과학기술자 / 한·인도 사증절차간소화협정 관련 고용방문자(Employment visitor),(1) 자연과학·사회과학·인문학·예체능 분야의 연구·산업상 고도기술 연구개발 (특정연구기관·정부출연·과학기술 연구기관) (2) 방위사업법 규정 연구기관 종사 과학기술자 (3) 자연과학·산업상 고도기술개발 연구 (기업부설연구소·산학협력단·국공립연구기관 등) (4) 고급과학기술인력 (과학기술정보통신부 고용추천) (5) 한·인도 사증절차간소화협정 관련 고용방문자 (6) 기타 사회과학·인문학·예체능 분야 연구인력,PDF p.153~156 사증발급인정서 발급대상은 총 6개 카테고리. 현재 CSV는 3개만 포함하여 50% 누락.,"PDF p.153 line 31~42(카테고리1), p.153 line 39~p.154 line 12(카테고리2), p.154 line 33~38(카테고리3·4), p.155 line 15~32(카테고리5), p.156 line 36~40(카테고리6) 직접 확인",NEEDS_REVIEW
visa,69,출처,E-3 연구 / 사증발급인정서 (연구기관 공통) (p. 143),E-3 연구 / 사증발급인정서 (p. 153~157),PDF상 E-3 사증발급인정서 본문은 p.153~157. 'p.143'은 E-2 영역으로 오기.,"PDF p.153 line 31 '사증발급인정서 발급대상', p.157 첨부서류",NEEDS_REVIEW
visa,70,출처,E-3 연구 / 방문연구원 특례 (p. 146~148),E-3 연구 / 방문연구원 특례 (p. 157),PDF상 방문연구원 특례 본문은 p.157만. 'p.146~148'은 E-2-1 사증발급인정서 영역으로 오기.,PDF p.157 line 17 '1. 방문연구원에 대한 특례',MINOR_FIX
visa,71,출처,E-4 기술지도 (p. 148),E-4 기술지도 (p. 158),PDF상 E-4 기술지도 본문 시작은 p.158. 'p.148'은 E-2 영역으로 오기.,PDF p.158 line 1 '기술지도(E-4)',MINOR_FIX
visa,72,출처,E-4 기술지도 / 사증발급인정서 (산업상 고도기술 제공) (p. 148),E-4 기술지도 / 사증발급인정서 (p. 159),PDF상 E-4 사증발급인정서 본문은 p.159. 'p.148'은 E-2 영역으로 오기.,PDF p.159 line 1 '사증발급인정서 발급대상',MINOR_FIX
visa,73,출처,E-5 전문직업 (p. 148~151),E-5 전문직업 (p. 160~163),PDF상 E-5 전문직업 본문은 p.160~163. 'p.148~151'은 E-2 영역으로 오기.,"PDF p.160 line 40 '전문직업(E-5)', p.161 line 30~32 체류상한 5년",MINOR_FIX
visa,74,출처,E-5 전문직업 / 사증발급인정서 (p. 152),E-5 전문직업 / 사증발급인정서 (p. 163),PDF상 E-5 사증발급인정서 본문은 p.163. 'p.152'는 E-3 영역으로 오기.,PDF p.163 line 6~7 '공관장 재량으로 발급할 수 있는 경우를 제외한 모든 전문직업(E-5) 자격에 대한 사증발급은 사증발급인정서를 통해 사증발급',MINOR_FIX
visa,75,출처,E-6 예술흥행 (p. 154),E-6 예술흥행 (p. 163~164),PDF상 E-6 예술흥행 본문은 p.163~164. 'p.154'는 E-3 영역으로 오기.,"PDF p.163 line 28 '예술흥행(E-6)', p.164 line 44 '1회 부여 체류기간의 상한 / 2년'",MINOR_FIX
visa,76,출처,E-6 예술흥행 / 공관장 재량 (E-6-2 특례) (p. 154~155),E-6 예술흥행 / 공관장 재량 (E-6-2 특례) (p. 164),PDF상 E-6-2 공관장 재량 특례는 p.164. 'p.154~155'는 E-3 영역으로 오기.,PDF p.164 line 47~54 직접 인용,MINOR_FIX
visa,77,출처,E-6 예술흥행 / 사증발급인정서 (p. 155),E-6 예술흥행 / 사증발급인정서 (p. 165),PDF상 E-6 사증발급인정서 본문은 p.165. 'p.155'는 E-3 한·인도 협정 영역으로 오기.,PDF p.165 line 1 '체류기간 2년 이하의 예술흥행(E-6) 사증발급인정서 발급',MINOR_FIX
visa,78,점수표,"[표]
E-7 신 약호 구분표 (E-7-1~4, E-7-91, E-7-S, E-7-Y, E-7-T)

E-7-1: 전문인력, 관리자 및 전문가 67개 직종
E-7-2: 준전문인력, 사무·서비스종사자 10개 직종
... (생략)",,PDF p.170 line 12~22의 '신 약호 분류표'는 E-7 약호 구분 정보이며 점수제 점수표가 아님. E-7 전체 행에는 점수표가 적용되지 않음(E-7-4 숙련기능인력과 E-7-S2 첨단산업분야만 점수제 운영).,PDF p.170 line 12~22 직접 확인 - 표 제목 '신 약호 / 분류기준 / 참고'로 점수 항목 없음,NEEDS_REVIEW
visa,78,출처,E-7 특정활동 (p. 159),E-7 특정활동 (p. 169~176),PDF상 E-7 특정활동 일반 본문은 p.169~p.176. 'p.159'는 E-4 영역으로 오기.,"PDF p.169 line 1 '특정활동(E-7)', p.175~176 공관장 재량 사증",NEEDS_REVIEW
visa,79,출처,E-7 특정활동 / 사증발급인정서 공통 제출서류 (p. 166~167),E-7 특정활동 / 사증발급인정서 공통 제출서류 (p. 177~178),PDF상 E-7 사증발급인정서 공통 제출서류는 p.177~178. 'p.166~167'은 E-6 영역으로 오기.,"PDF p.177 line 4 '사증발급인정서 발급', p.177 line 31 '주무부처 고용추천 필수 직종'",MINOR_FIX
visa,80,출처,E-7 특정활동 / 한·인도 사증절차간소화협정 독립전문가 (p. 167~168),E-7 특정활동 / 한·인도 사증절차간소화협정 독립전문가 (p. 178~179),PDF상 E-7-91 한·인도 CEPA 독립전문가는 p.178~179. 'p.167~168'은 E-7 사증발급인정서 공통 영역으로 오기.,"PDF p.178 line 26 '한·인도 사증절차간소화협정', p.178 line 31~36 독립전문가 자격기준",MINOR_FIX
visa,81,출처,E-7 특정활동 / 한·러 및 한·우즈벡 한시적 근로협정 (p. 168~169),E-7 특정활동 / 한·러 및 한·우즈벡 한시적 근로협정 (p. 179),PDF상 한·러 한시적 근로협정·한·우즈벡 한시적근로협정은 모두 p.179. 'p.168~169'는 E-7 일반 영역으로 오기.,"PDF p.179 line 11 '한․러 한시적 근로활동에 관한 협정', p.179 line 26 '한 우즈벡 한시적근로협정'",MINOR_FIX
visa,82,출처,E-7-1 전문인력 / 관리자 직종 (1212~1522) 공통 심사기준 (p. 160),E-7-1 전문인력 / 관리자 직종 (1212~1522) 공통 심사기준 (p. 185~186),PDF상 E-7-1 관리자 직종 공통 심사기준은 p.185~186. 'p.160'은 E-5 영역으로 오기.,PDF p.185 line 31~37 '관리자 직종코드(1212 내지 1522)에 대한 공통 심사기준',MINOR_FIX
visa,83,출처,E-7-2 준전문인력 / 직종별 세부심사 (10개 직종) (p. 167),E-7-2 준전문인력 / 직종별 세부심사 (10개 직종) (p. 219~),PDF상 E-7-2 준전문인력 세부기준은 p.219부터. 'p.167'은 E-6 영역으로 오기.,PDF p.219 line 1 '준전문인력에 대한 세부기준',MINOR_FIX
visa,84,출처,E-7-3 일반기능인력 / 직종별 세부심사 (14개 직종) (p. 225),E-7-3 일반기능인력 / 직종별 세부심사 (14개 직종) (p. 231~),PDF상 E-7-3 일반기능인력은 p.231부터. 'p.225'는 E-7-2 영역으로 오기.,"PDF p.231 line 17 '일반 기능분야 종사자 (14개 직종, E-7-3)'",MINOR_FIX
visa,85,출처,E-7-S2 첨단산업분야 네거티브 비자 점수표 (p. 236),E-7-S2 첨단산업분야 네거티브 비자 점수표 (p. 248~250),PDF상 E-7-S2 첨단산업분야 점수표는 p.249~p.250. 'p.236'은 E-7-3 영역으로 오기.,"PDF p.249 line 15 '첨단산업 분야 네거티브 비자 점수표', p.250 점수 표",MINOR_FIX
visa,86,출처,E-7-S 네거티브 방식 전문인력 비자 (p. 234),E-7-S 네거티브 방식 전문인력 비자 (p. 247~248),PDF상 E-7-S 네거티브 방식 전문인력은 p.247~248. 'p.234'는 E-7-3 영역으로 오기.,PDF p.247 line 27 'Ⅴ. 네거티브 방식의 전문인력 비자 (E-7-S)',MINOR_FIX
visa,87,다음단계,"E-7-4 숙련 (변경), F-2-7 점수제, F-5 영주","F-2-7 점수제 거주 (1년 이상), F-5-16 점수제 영주 (3년 이상)",본 행은 E-7-S→F-2-7→F-5-16 자격변경 특례 행. E-7-4 숙련기능인력은 본 행과 무관. PDF p.248~249 흐름 정확 반영.,"PDF p.248 line 33 '점수제 거주(F-2-7) 자격변경에 대한 특례', p.248 line 45 '점수제 영주(F-5-16) 자격변경에 대한 특례'",NEEDS_REVIEW
visa,87,출처,E-7-S / 거주(F-2) 및 영주(F-5) 자격변경 특례 (p. 234~235),E-7-S / 거주(F-2) 및 영주(F-5) 자격변경 특례 (p. 248~249),PDF상 E-7-S→F-2-7/F-5-16 자격변경 특례는 p.248~249. 'p.234~235'는 E-7-3 영역으로 오기.,"PDF p.248 line 31 '거주(F-2) 및 영주(F-5) 자격 취득에 대한 특례', p.248 line 33~p.249 line 11",NEEDS_REVIEW
stay,28,1회부여 체류기간,1년 (일반대학),,"PDF says '최대 2년 범위 내' (up to 2 years max), not '1년'. CSV's '1년' is not directly supported by PDF text — should be '최대 2년 범위 내' or '2년 이내'. However, '1년' falls within the allowed range, so it's a possible value, just not the explicit ceiling stated in PDF.",,MINOR_FIX
stay,44,출처,p. 158,,Content is correct but page reference is wrong. Should be p. 105 or p. 106.,,MINOR_FIX
stay,52,다음단계,F-5-7(외국인투자기업 5억 이상 투자 후 3년) 또는 F-5 일반영주,"F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-5-1 일반영주","PDF 시행령 별표1의3 3호 (p.429-430, file p215): 'F-5-5: 50만 달러 이상 투자자로 국민 5인 이상 고용한 사람'. F-5-7은 '외국적동포로서 국적취득 요건을 갖춘 사람(별도 지침)' (별표1의3 5호). '외국인투자기업 5억 이상 투자' 라는 F-5 약호는 매뉴얼에 존재하지 않음. F-5-5 detail at p.443-4",,NEEDS_REVIEW
stay,55,다음단계,F-5-7(외국인투자기업 5억 이상 투자 후 3년) 또는 F-5 일반영주,"F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-5-1 일반영주",동일 근거. D-8-1 법인투자자도 50만달러 투자+5인 고용 요건 충족 시 F-5-5 경로. 그렇지 않으면 5년 이상 체류로 F-5-1 일반영주 경로.,,NEEDS_REVIEW
