record_id,source_dataset,code_type,primary_code,primary_name_ko,source_section_title,user_situation_tags,intent_keywords,applicant_profile,current_location_context,current_status_context,plain_language_summary,required_user_info,routing_hint,answer_focus,search_text
stay-00010-A-1,stay_manual_semantic_clean.csv,stay_status,A-1,외교,A-1 외교 / 재입국허가,"- 공무/외교
- 재입국","- 외교관 재입국허가
- 단수사증 외교관 재입국
- 복수재입국 외교",외교 자격 소지자,국내 체류 중 민원,외교(A-1)~협정(A-3) 단수사증 소지자,출국일로부터 1년 이내 재입국 시 면제. 단수사증 외교(A-1)~협정(A-3) 소지자는 재임기간 내 재입국 시 허가,"- 단·복수사증 여부
- 출국 예정일
- 재입국 시점",체류민원 / 재입국허가,"제출서류, 예외",외교 A-1 재입국허가 1년 단수사증 복수사증 재임기간 외교관 신분증 대사관 협조공한
stay-00011-A-1,stay_manual_semantic_clean.csv,stay_status,A-1,외교,A-1 외교 / 외국인등록,"- 공무/외교
- 외국인등록","- 외교관 외국인등록증
- 등록 면제 외교관도 등록 가능
- 외국인등록증 발급 외교",외교 자격 소지자,국내 체류 중 민원,외교(A-1) 자격으로 국내 체류 중,외교 자격은 외국인등록 면제 대상이나 본인이 원할 경우 외국인등록증 발급 가능,- 등록 필요 여부 (사적 사유),체류민원 / 외국인등록,"제출서류, 예외",외교 A-1 외국인등록 면제 신청서 여권원본 사진 주한외국공관원 신분증
stay-00012-A-2,stay_manual_semantic_clean.csv,stay_status,A-2,공무,A-2 공무,- 공무/외교,"- 공무 비자 A-2 대상
- 국제기구 직원 가족
- 영사기관 사무직원",외국정부 또는 국제기구 공무 수행자와 가족,입국 전 사증 신청 또는 국내 주재,공무 수행 외국인,외국정부·국제기구 공무 수행자와 그 가족에게 부여 (대한민국 본부 국제기구 직원 포함),"- 공무 종류
- 소속 국가/기구
- 가족 동반 여부",체류민원 / 공통사항,"대상, 기간",공무 A-2 외교사절단 영사기관 사무직원 기술직원 노무직원 국제기구 공무수행기간
stay-00013-A-2,stay_manual_semantic_clean.csv,stay_status,A-2,공무,A-2 공무 / 체류자격외 활동허가,"- 공무/외교
- 취업/고용
- 자격외활동","- 공무 자격 가족 취업
- 공무 자격 외 활동 허가",공무 자격자 가족 (배우자/미성년 자녀),국내 체류 중 민원,공무(A-2) 자격으로 근무 중인 직원의 가족,공무(A-2) 주한외국공관원 가족과 국제기구 직원 동반가족의 한국 취업 활동 허가,"- 공관원과의 관계
- 취업 분야
- 수수료 면제 대상 여부",체류민원 / 체류자격외 활동허가,"절차, 제출서류",공무 A-2 자격외 활동 외교부 고용추천서 단순노무 D-3 E-9 E-10 H-2 제외 12만원
stay-00014-A-2,stay_manual_semantic_clean.csv,stay_status,A-2,공무,A-2 공무 / 체류자격 부여,"- 공무/외교
- 가족초청/동반","- 공무 외국인 자녀 출생
- 공무 자격 신규 부여",공무(A-2) 자격자와 부양가족,국내 체류 중 민원,공무(A-2) 자격으로 입국 또는 한국 내 출생,공무 수행자 본인 및 부양가족에 대한 체류자격 부여 (출생일부터 90일 이내 신청),"- 본인 또는 부양가족 구분
- 파견·재직 입증 서류 보유 여부",체류민원 / 체류자격 부여,제출서류,공무 A-2 체류자격 부여 출생 본인 부양가족 신청서 파견 재직 협조공문 출생증명서 부양자
stay-00023-C-3,stay_manual_semantic_clean.csv,stay_status,C-3,단기방문,C-3 단기방문,- 방문/단기체류,"- 한국 단기 방문 비자
- 관광 비자
- 친지 방문 90일
- 시장조사 단기상용
- 단기방문 C-3 종류",단기 방문자 (관광·상용·친지방문 등),입국 전 사증 신청,사증 없이 또는 사증면제로 90일 이내 방문 예정,관광·통과·요양·친지방문·상용활동 등 90일 이내 단기 체류 목적 사증. 영리 목적은 발급 불가,"- 방문 목적
- 체류 기간
- 동반자 여부","체류민원 / 공통사항, 체류기간 연장","대상, 기간",단기방문 C-3 90일 관광 통과 요양 친지방문 상용 시장조사 의료관광 도착관광 동포방문 순수환승
stay-00025-C-4,stay_manual_semantic_clean.csv,stay_status,C-4,단기취업,C-4 단기취업,"- 취업/고용
- 방문/단기체류
- 계절근로","- 계절근로자 비자
- 단기취업 비자
- 일시흥행 비자
- 광고 모델 한국",단기 취업자 (계절근로자·강사·연구자·모델 등),입국 전 사증 신청,단기간 한국에서 수익 활동 예정,농작물·수산물 원시가공 계절근로(C-4-1~4)와 일시흥행·광고·강의·연구·기술지도 등 수익 목적 단기간 취업(C-4-5),"- 취업 분야
- 지자체 추천 여부 (계절근로)
- 취업 기간","체류민원 / 공통사항, 근무처 변경/추가","대상, 기간",단기취업 C-4 계절근로 농작물 수산물 일시흥행 광고 패션모델 강의 연구 기술지도 90일
stay-00027-D-1,stay_manual_semantic_clean.csv,stay_status,D-1,문화예술,D-1 문화예술,- 종교/문화,"- 예술 비자 한국
- 학술 연구 비자
- 한국 전통문화 연구 비자
- D-1 문화예술",학술·예술 활동자,입국 전 사증 신청 또는 국내 체류 중,비영리 학술·예술 활동 종사,수익 없는 학술·예술 활동자 (대한민국 고유문화·예술 전문연구·지도 포함). 영리단체 초청은 제외,"- 활동 내용 (학술·예술)
- 영리 여부
- 초청 기관","체류민원 / 공통사항, 외국인등록","대상, 제한사항",문화예술 D-1 학술 예술 비영리 고유문화 태권도 무용 영리단체 제외 2년
stay-00029-D-2,stay_manual_semantic_clean.csv,stay_status,D-2,유학,D-2 유학,- 유학/연수,"- 유학 비자 D-2
- 한국 대학 유학
- 전문대학 박사 비자
- 어학연수 D-4 차이",외국인 유학생 (전문학사·학사·석사·박사·연구·교환·방문학생),입국 전 사증 신청,한국 전문대학 이상 교육기관에 정규 입학 예정,전문대학 이상 교육기관 정규과정 또는 특정 연구 외국인 (원격대학·평생교육기관·기능대학 직업훈련·야간대학원 등 제외),"- 진학 교육기관
- 학위 과정
- 어학연수 vs 학위 과정","체류민원 / 공통사항, 체류자격 변경, 외국인등록","대상, 기간",유학 D-2 전문대학 학사 석사 박사 연구과정 교환학생 방문학생 D-2-1 D-2-2 D-2-3 D-2-4 D-2-5 D-2-6 D-2-7 D-2-8 어학연수 D-4-1 D-4-7 2년
stay-00030-D-2,stay_manual_semantic_clean.csv,stay_status,D-2,유학,D-2 유학 / 시간제취업 활동 허가,"- 유학/연수
- 자격외활동
- 취업/고용","- 유학생 아르바이트
- D-2 시간제 취업
- 한국 유학생 알바
- TOPIK 3급 아르바이트
- 어학연수생 알바",유학생 또는 어학연수생,국내 체류 중 민원,D-2 학위과정 또는 D-4-1/D-4-7 어학연수 (변경 6개월 경과),"한국어 능력을 갖춘 유학생의 시간제 취업 활동 허가 (학위과정·연구과정·일-학습연계는 즉시, 어학연수는 6개월 경과 후)","- 한국어 능력 수준 (TOPIK/사회통합/세종학당)
- 체류기간
- 취업 분야
- 학과 성적",체류민원 / 체류자격외 활동허가,"요건, 제출서류, 제한사항",유학 D-2 시간제 취업 알바 아르바이트 TOPIK 3급 4급 사회통합 세종학당 주중 25시간 30시간 35시간 제조업 건설업 제한 미성년 영어 학원
stay-00034-D-3,stay_manual_semantic_clean.csv,stay_status,D-3,기술연수,D-3 기술연수,- 취업/고용,"- 기술연수 비자 D-3
- 외국 투자 기업 연수
- 해외투자기업 기술연수생",해외투자기업 또는 기술 수출 산업체 연수생,입국 전 사증 신청 또는 국내 체류 중,외국환거래법상 외국 직접투자 산업체 또는 기술수출 산업체에서 연수,법무부장관이 정하는 연수조건을 갖춘 자로 국내 산업체에서 연수받는 자 (자격외활동·근무처 변경·자격 변경 모두 제한),"- 연수 산업체
- 연수 기간
- 국내 모기업 정보","체류민원 / 공통사항, 체류기간 연장","대상, 제한사항",기술연수 D-3 해외투자기업 외국환거래법 기술수출 대외무역법 산업설비 2년 자격외 활동 억제 변경 불가
stay-00036-D-4,stay_manual_semantic_clean.csv,stay_status,D-4,일반연수,D-4 일반연수,- 유학/연수,"- 일반연수 비자 D-4
- 어학연수 D-4-1
- 한국어 연수 비자
- 외국인학교 D-4-3",교육기관·기업체 연수자,입국 전 사증 신청 또는 국내 체류 중,D-2 외의 교육기관·기업체·단체에서 교육·연수·연구 종사,한국어 연수(D-4-1)·기업맞춤형 인턴십(D-4-2K)·외국인 유학생(D-4-3)·한식조리연수(D-4-5)·우수사설교육기관 연수(D-4-6)·외국어 연수(D-4-7) 등,"- 연수 종류
- 연수기관
- 연수 기간","체류민원 / 공통사항, 체류자격 변경","대상, 기간",일반연수 D-4 어학연수 D-4-1 외국어연수 D-4-7 한국어 외국인유학생 D-4-3 한식조리 D-4-5 우수사설교육기관 D-4-6 기업맞춤형 인턴십 D-4-2K 2년
